Country_code,Total_Population,Male_Population,Female_Population,Population_Density,Life_Expectancy
BI,11874000000,5894000000,5980000000,457,62
KM,790000000,397000000,393000000,425,64
DJ,1073000000,533000000,540000000,46,63
ER,3498000000,1724000000,1773000000,28,67
ET,114120000000,57375000000,56745000000,114,65
KE,50951000000,25272000000,25679000000,87,62
MG,27533000000,13804000000,13728000000,47,65
MW,18867000000,9168000000,9698000000,199,64
MU,1296000000,640000000,655000000,638,75
YT,294000000,139000000,154000000,785,77
MZ,30285000000,14851000000,15433000000,38,61
RE,949000000,458000000,491000000,379,82
RW,12835000000,6266000000,6568000000,530,66
SC,104000000,54000000,49000000,228,74
SO,15981000000,8011000000,7969000000,25,57
SS,10447000000,5167000000,5280000000,18,55
UG,42949000000,21241000000,21707000000,214,62
TZ,59872000000,29563000000,30309000000,67,66
ZM,18380000000,9066000000,9314000000,24,62
ZW,15354000000,7231000000,8122000000,39,61
AO,32353000000,15983000000,16370000000,25,62
CM,25782000000,12855000000,12926000000,55,61
CF,5209000000,2605000000,2603000000,8,55
TD,16126000000,8094000000,8032000000,12,53
CG,5570000000,2781000000,2788000000,16,62
CD,89906000000,44600000000,45306000000,39,60
GQ,1553000000,821000000,731000000,55,61
GA,2242000000,1144000000,1098000000,8,66
ST,214000000,107000000,107000000,223,68
DZ,42705000000,21756000000,20948000000,17,76
EG,105618000000,53429000000,52189000000,106,71
LY,6569000000,3329000000,3240000000,3,72
MA,36304000000,18281000000,18022000000,81,74
SD,43232000000,21607000000,21624000000,24,65
TN,12049000000,5962000000,6086000000,77,75
EH,544000000,301000000,243000000,2,70
BW,2499000000,1233000000,1266000000,4,65
SZ,1169000000,579000000,589000000,67,60
LS,2225000000,1097000000,1127000000,73,54
ZA,58087000000,28207000000,29879000000,47,66
BJ,12290000000,6152000000,6138000000,108,60
BF,20951000000,10431000000,10520000000,76,60
CV,577000000,286000000,290000000,143,76
CI,26147000000,13218000000,12929000000,82,59
GM,2508000000,1247000000,1261000000,247,63
GH,31522000000,15723000000,15798000000,138,64
GN,12877000000,6349000000,6527000000,52,59
GW,1970000000,971000000,998000000,70,60
LR,4985000000,2479000000,2505000000,51,61
ML,20567000000,10387000000,10179000000,16,59
MR,4383000000,2145000000,2238000000,4,65
NE,23443000000,11889000000,11553000000,18,62
NG,203304000000,102680000000,100623000000,223,52
SH,5000000,2000000,2000000,13,76
SN,16000000000,7860000000,8140000000,83,68
SL,8046000000,4030000000,4016000000,112,60
TG,8243000000,4142000000,4101000000,151,60
KZ,18754000000,9005000000,9748000000,6,71
KG,6323000000,3105000000,3218000000,32,71
TJ,9337000000,4696000000,4640000000,65,70
TM,6158000000,3050000000,3108000000,13,69
UZ,32976000000,16495000000,16481000000,77,71
CN,1421864000000,726781000000,695082000000,148,77
HK,7496000000,3461000000,4034000000,6820,85
MO,663000000,312000000,351000000,20739,84
TW,23777000000,11802000000,11975000000,671,80
KP,25755000000,12707000000,13047000000,213,73
JP,125791000000,61158000000,64633000000,333,84
MN,3232000000,1606000000,1626000000,2,71
KR,51803000000,25894000000,25909000000,523,83
AF,37769000000,19090000000,18679000000,58,63
BD,165516000000,82164000000,83352000000,1271,72
BT,767000000,407000000,360000000,19,71
IN,1383112000000,714325000000,668786000000,465,70
IR,86564000000,43792000000,42772000000,53,76
MV,504000000,291000000,212000000,1681,80
NP,28832000000,13704000000,15128000000,195,69
PK,223293000000,113015000000,110278000000,289,66
LK,21649000000,10440000000,11208000000,345,76
BN,438000000,226000000,211000000,75,74
KH,16207000000,8021000000,8186000000,89,70
ID,269582000000,135798000000,133784000000,141,70
LA,7212000000,3636000000,3575000000,31,68
MY,32804000000,16794000000,16009000000,99,75
MM,53040000000,26423000000,26616000000,81,66
PH,110380000000,56011000000,54369000000,367,71
SG,5866000000,3066000000,2799000000,8589,83
TH,71307000000,34723000000,36584000000,139,78
TL,1280000000,653000000,627000000,86,68
VN,95776000000,47288000000,48488000000,305,74
AM,2820000000,1274000000,1545000000,99,75
AZ,10232000000,5051000000,5181000000,123,73
BH,1494000000,933000000,560000000,1908,80
CY,1228000000,615000000,613000000,132,81
GE,3770000000,1774000000,1996000000,54,73
IQ,41563000000,20788000000,20774000000,95,71
IL,8607000000,4287000000,4320000000,397,82
JO,10698000000,5555000000,5143000000,120,76
KW,4441000000,2738000000,1702000000,249,79
LB,5781000000,2814000000,2967000000,565,79
OM,4602000000,2924000000,1678000000,14,78
QA,2807000000,2055000000,751000000,242,80
SA,35827000000,20836000000,14991000000,16,77
PS,4909000000,2446000000,2462000000,815,75
SY,20098000000,10073000000,10024000000,109,71
TR,83481000000,41866000000,41614000000,108,77
AE,9211000000,6443000000,2767000000,129,79
YE,31546000000,15953000000,15593000000,59,65
BY,9673000000,4467000000,5206000000,47,74
BG,7052000000,3420000000,3631000000,65,75
CZ,10536000000,5189000000,5347000000,136,79
HU,9771000000,4678000000,5093000000,107,76
PL,38493000000,18625000000,19867000000,125,77
MD,3109000000,1478000000,1631000000,94,70
RO,19524000000,9450000000,10073000000,84,76
RU,145742000000,67697000000,78045000000,8,73
SK,5453000000,2663000000,2790000000,111,77
UA,44211000000,20480000000,23730000000,76,74
DK,5795000000,2881000000,2914000000,136,81
EE,1327000000,627000000,699000000,30,78
FO,51000000,26000000,24000000,37,78
FI,5521000000,2725000000,2795000000,18,81
GG,62000000,30000000,31000000,974,82
IS,360000000,184000000,175000000,3,82
IE,4896000000,2425000000,2470000000,71,82
IM,83000000,41000000,42000000,146,80
JE,107000000,52000000,54000000,922,80
LV,1916000000,884000000,1032000000,30,75
LT,2849000000,1331000000,1517000000,45,76
NO,5348000000,2696000000,2652000000,17,82
SE,10267000000,5163000000,5104000000,25,83
GB,66778000000,32972000000,33806000000,275,81
AL,2873000000,1438000000,1435000000,104,79
AD,76000000,38000000,37000000,162,83
BA,3360000000,1652000000,1708000000,65,77
HR,4129000000,2007000000,2122000000,73,78
GI,32000000,16000000,16000000,3268,82
GR,10574000000,5182000000,5391000000,80,81
IT,59727000000,29090000000,30637000000,201,83
XK,1686000000,841000000,845000000,154,79
MT,503000000,259000000,244000000,1598,83
ME,630000000,307000000,323000000,45,77
MK,2114000000,1054000000,1059000000,84,77
PT,10289000000,4857000000,5432000000,111,81
SM,34000000,16000000,17000000,560,82
RS,7401000000,3548000000,3852000000,96,76
SI,2112000000,1058000000,1054000000,104,81
ES,47131000000,23102000000,24028000000,93,83
AT,8879000000,4367000000,4511000000,107,81
BE,11510000000,5677000000,5832000000,380,81
FR,64399000000,31141000000,33258000000,116,82
DE,83148000000,41023000000,42124000000,238,81
LI,38000000,19000000,19000000,240,84
LU,619000000,311000000,308000000,239,82
MC,37000000,18000000,18000000,24855,86
NL,17363000000,8624000000,8738000000,515,82
CH,8575000000,4253000000,4322000000,214,83
AI,15000000,7000000,7000000,174,76
AG,92000000,43000000,48000000,209,78
AW,106000000,50000000,56000000,591,76
BS,404000000,193000000,210000000,75,71
BB,280000000,134000000,145000000,651,77
BQ,25000000,13000000,12000000,77,76
VG,30000000,14000000,15000000,198,75
KY,66000000,33000000,32000000,274,75
CU,11316000000,5628000000,5688000000,106,77
CW,193000000,93000000,99000000,455,76
DM,71000000,35000000,35000000,95,73
DO,10881000000,5472000000,5409000000,225,73
GD,122000000,61000000,61000000,360,74
GP,395000000,179000000,216000000,242,82
HT,11160000000,5535000000,5625000000,404,64
JM,2813000000,1396000000,1417000000,259,71
MQ,372000000,171000000,200000000,351,82
MS,4000000,2000000,2000000,43,75
PR,3292000000,1560000000,1732000000,378,79
BL,10000000,5000000,4000000,476,80
KN,47000000,23000000,24000000,183,71
LC,178000000,88000000,90000000,289,73
MF,33000000,15000000,17000000,624,79
VC,104000000,53000000,51000000,269,72
SX,42000000,22000000,20000000,1264,75
TT,1519000000,751000000,768000000,296,74
TC,43000000,21000000,21000000,45,75
VI,100000000,47000000,53000000,288,75
BZ,389000000,195000000,193000000,17,73
CR,5084000000,2546000000,2538000000,99,79
SV,6280000000,2992000000,3287000000,303,72
GT,17106000000,8472000000,8633000000,159,73
HN,9958000000,5031000000,4927000000,91,72
MX,125085000000,61187000000,63898000000,63,74
NI,6663000000,3284000000,3379000000,55,74
PA,4232000000,2118000000,2114000000,57,77
AR,44745000000,22153000000,22592000000,16,77
BO,11777000000,5916000000,5860000000,10,67
BR,211782000000,104119000000,107663000000,25,75
CL,19039000000,9450000000,9589000000,25,80
CO,50187000000,24779000000,25408000000,44,76
EC,17343000000,8672000000,8670000000,69,77
FK,3000000,1000000,1000000,0,78
GF,284000000,141000000,142000000,3,76
GY,798000000,392000000,405000000,4,69
PY,6530000000,3280000000,3249000000,16,73
PE,32824000000,16268000000,16556000000,25,76
SR,600000000,299000000,300000000,3,72
